Votes,Total,Candidate
61,430,YOWERI MUSEVENI TIBUHABURWA KAGUTA
50,307,YOWERI MUSEVENI TIBUHABURWA KAGUTA
336,802,YOWERI MUSEVENI TIBUHABURWA KAGUTA
156,449,YOWERI MUSEVENI TIBUHABURWA KAGUTA
113,360,YOWERI MUSEVENI TIBUHABURWA KAGUTA
113,414,YOWERI MUSEVENI TIBUHABURWA KAGUTA
101,303,YOWERI MUSEVENI TIBUHABURWA KAGUTA
108,304,YOWERI MUSEVENI TIBUHABURWA KAGUTA
112,502,YOWERI MUSEVENI TIBUHABURWA KAGUTA
92,404,YOWERI MUSEVENI TIBUHABURWA KAGUTA
114,509,YOWERI MUSEVENI TIBUHABURWA KAGUTA
98,579,YOWERI MUSEVENI TIBUHABURWA KAGUTA
136,640,YOWERI MUSEVENI TIBUHABURWA KAGUTA
149,470,YOWERI MUSEVENI TIBUHABURWA KAGUTA
115,495,YOWERI MUSEVENI TIBUHABURWA KAGUTA
126,577,YOWERI MUSEVENI TIBUHABURWA KAGUTA
82,268,YOWERI MUSEVENI TIBUHABURWA KAGUTA
66,477,YOWERI MUSEVENI TIBUHABURWA KAGUTA
67,496,YOWERI MUSEVENI TIBUHABURWA KAGUTA
61,433,YOWERI MUSEVENI TIBUHABURWA KAGUTA
54,371,YOWERI MUSEVENI TIBUHABURWA KAGUTA
122,285,YOWERI MUSEVENI TIBUHABURWA KAGUTA
75,197,YOWERI MUSEVENI TIBUHABURWA KAGUTA
49,149,YOWERI MUSEVENI TIBUHABURWA KAGUTA
116,449,YOWERI MUSEVENI TIBUHABURWA KAGUTA
124,353,YOWERI MUSEVENI TIBUHABURWA KAGUTA
203,324,YOWERI MUSEVENI TIBUHABURWA KAGUTA
131,364,YOWERI MUSEVENI TIBUHABURWA KAGUTA
83,284,YOWERI MUSEVENI TIBUHABURWA KAGUTA
116,451,YOWERI MUSEVENI TIBUHABURWA KAGUTA
74,175,YOWERI MUSEVENI TIBUHABURWA KAGUTA
119,334,YOWERI MUSEVENI TIBUHABURWA KAGUTA
120,306,YOWERI MUSEVENI TIBUHABURWA KAGUTA
138,516,YOWERI MUSEVENI TIBUHABURWA KAGUTA
97,429,YOWERI MUSEVENI TIBUHABURWA KAGUTA
67,274,YOWERI MUSEVENI TIBUHABURWA KAGUTA
82,320,YOWERI MUSEVENI TIBUHABURWA KAGUTA
82,350,YOWERI MUSEVENI TIBUHABURWA KAGUTA
104,454,YOWERI MUSEVENI TIBUHABURWA KAGUTA
150,430,YOWERI MUSEVENI TIBUHABURWA KAGUTA
160,473,YOWERI MUSEVENI TIBUHABURWA KAGUTA
73,354,YOWERI MUSEVENI TIBUHABURWA KAGUTA
84,343,YOWERI MUSEVENI TIBUHABURWA KAGUTA
82,330,YOWERI MUSEVENI TIBUHABURWA KAGUTA
103,415,YOWERI MUSEVENI TIBUHABURWA KAGUTA
69,185,YOWERI MUSEVENI TIBUHABURWA KAGUTA
95,303,YOWERI MUSEVENI TIBUHABURWA KAGUTA
500,981,YOWERI MUSEVENI TIBUHABURWA KAGUTA
85,420,YOWERI MUSEVENI TIBUHABURWA KAGUTA
107,373,YOWERI MUSEVENI TIBUHABURWA KAGUTA
160,300,YOWERI MUSEVENI TIBUHABURWA KAGUTA
219,415,YOWERI MUSEVENI TIBUHABURWA KAGUTA
72,204,YOWERI MUSEVENI TIBUHABURWA KAGUTA
758,1675,YOWERI MUSEVENI TIBUHABURWA KAGUTA
191,415,YOWERI MUSEVENI TIBUHABURWA KAGUTA
159,300,YOWERI MUSEVENI TIBUHABURWA KAGUTA
458,1144,YOWERI MUSEVENI TIBUHABURWA KAGUTA
543,1340,YOWERI MUSEVENI TIBUHABURWA KAGUTA
180,471,YOWERI MUSEVENI TIBUHABURWA KAGUTA
174,487,YOWERI MUSEVENI TIBUHABURWA KAGUTA
109,334,YOWERI MUSEVENI TIBUHABURWA KAGUTA
293,846,YOWERI MUSEVENI TIBUHABURWA KAGUTA
676,1201,YOWERI MUSEVENI TIBUHABURWA KAGUTA
118,351,YOWERI MUSEVENI TIBUHABURWA KAGUTA
186,243,YOWERI MUSEVENI TIBUHABURWA KAGUTA
324,401,YOWERI MUSEVENI TIBUHABURWA KAGUTA
409,478,YOWERI MUSEVENI TIBUHABURWA KAGUTA
222,283,YOWERI MUSEVENI TIBUHABURWA KAGUTA
246,374,YOWERI MUSEVENI TIBUHABURWA KAGUTA
214,272,YOWERI MUSEVENI TIBUHABURWA KAGUTA
279,373,YOWERI MUSEVENI TIBUHABURWA KAGUTA
40,121,YOWERI MUSEVENI TIBUHABURWA KAGUTA
202,394,YOWERI MUSEVENI TIBUHABURWA KAGUTA
80,204,YOWERI MUSEVENI TIBUHABURWA KAGUTA
12,108,YOWERI MUSEVENI TIBUHABURWA KAGUTA
7,113,YOWERI MUSEVENI TIBUHABURWA KAGUTA
247,345,YOWERI MUSEVENI TIBUHABURWA KAGUTA
185,264,YOWERI MUSEVENI TIBUHABURWA KAGUTA
101,183,YOWERI MUSEVENI TIBUHABURWA KAGUTA
67,269,YOWERI MUSEVENI TIBUHABURWA KAGUTA
98,301,YOWERI MUSEVENI TIBUHABURWA KAGUTA
69,159,YOWERI MUSEVENI TIBUHABURWA KAGUTA
436,671,YOWERI MUSEVENI TIBUHABURWA KAGUTA
106,277,YOWERI MUSEVENI TIBUHABURWA KAGUTA
107,224,YOWERI MUSEVENI TIBUHABURWA KAGUTA
109,221,YOWERI MUSEVENI TIBUHABURWA KAGUTA
104,280,YOWERI MUSEVENI TIBUHABURWA KAGUTA
48,190,YOWERI MUSEVENI TIBUHABURWA KAGUTA
233,285,YOWERI MUSEVENI TIBUHABURWA KAGUTA
200,319,YOWERI MUSEVENI TIBUHABURWA KAGUTA
317,504,YOWERI MUSEVENI TIBUHABURWA KAGUTA
158,286,YOWERI MUSEVENI TIBUHABURWA KAGUTA
75,226,YOWERI MUSEVENI TIBUHABURWA KAGUTA
108,350,YOWERI MUSEVENI TIBUHABURWA KAGUTA
89,242,YOWERI MUSEVENI TIBUHABURWA KAGUTA
176,386,YOWERI MUSEVENI TIBUHABURWA KAGUTA
127,268,YOWERI MUSEVENI TIBUHABURWA KAGUTA
203,414,YOWERI MUSEVENI TIBUHABURWA KAGUTA
205,397,YOWERI MUSEVENI TIBUHABURWA KAGUTA
177,341,YOWERI MUSEVENI TIBUHABURWA KAGUTA
67,182,YOWERI MUSEVENI TIBUHABURWA KAGUTA
130,456,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2076,4162,YOWERI MUSEVENI TIBUHABURWA KAGUTA
357,1115,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2566,2870,YOWERI MUSEVENI TIBUHABURWA KAGUTA
272,328,YOWERI MUSEVENI TIBUHABURWA KAGUTA
377,409,YOWERI MUSEVENI TIBUHABURWA KAGUTA
348,461,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1321,1448,YOWERI MUSEVENI TIBUHABURWA KAGUTA
367,374,YOWERI MUSEVENI TIBUHABURWA KAGUTA
603,685,YOWERI MUSEVENI TIBUHABURWA KAGUTA
25,86,YOWERI MUSEVENI TIBUHABURWA KAGUTA
92,166,YOWERI MUSEVENI TIBUHABURWA KAGUTA
194,351,YOWERI MUSEVENI TIBUHABURWA KAGUTA
88,272,YOWERI MUSEVENI TIBUHABURWA KAGUTA
112,305,YOWERI MUSEVENI TIBUHABURWA KAGUTA
171,262,YOWERI MUSEVENI TIBUHABURWA KAGUTA
171,262,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2193,2943,YOWERI MUSEVENI TIBUHABURWA KAGUTA
59,136,YOWERI MUSEVENI TIBUHABURWA KAGUTA
109,244,YOWERI MUSEVENI TIBUHABURWA KAGUTA
58,151,YOWERI MUSEVENI TIBUHABURWA KAGUTA
601,666,YOWERI MUSEVENI TIBUHABURWA KAGUTA
336,543,YOWERI MUSEVENI TIBUHABURWA KAGUTA
336,543,YOWERI MUSEVENI TIBUHABURWA KAGUTA
623,790,YOWERI MUSEVENI TIBUHABURWA KAGUTA
497,627,YOWERI MUSEVENI TIBUHABURWA KAGUTA
211,342,YOWERI MUSEVENI TIBUHABURWA KAGUTA
265,401,YOWERI MUSEVENI TIBUHABURWA KAGUTA
265,401,YOWERI MUSEVENI TIBUHABURWA KAGUTA
515,720,YOWERI MUSEVENI TIBUHABURWA KAGUTA
169,315,YOWERI MUSEVENI TIBUHABURWA KAGUTA
217,416,YOWERI MUSEVENI TIBUHABURWA KAGUTA
38,226,YOWERI MUSEVENI TIBUHABURWA KAGUTA
61,150,YOWERI MUSEVENI TIBUHABURWA KAGUTA
232,389,YOWERI MUSEVENI TIBUHABURWA KAGUTA
204,305,YOWERI MUSEVENI TIBUHABURWA KAGUTA
76,129,YOWERI MUSEVENI TIBUHABURWA KAGUTA
98,213,YOWERI MUSEVENI TIBUHABURWA KAGUTA
128,171,YOWERI MUSEVENI TIBUHABURWA KAGUTA
236,353,YOWERI MUSEVENI TIBUHABURWA KAGUTA
220,429,YOWERI MUSEVENI TIBUHABURWA KAGUTA
162,332,YOWERI MUSEVENI TIBUHABURWA KAGUTA
809,1103,YOWERI MUSEVENI TIBUHABURWA KAGUTA
231,329,YOWERI MUSEVENI TIBUHABURWA KAGUTA
385,562,YOWERI MUSEVENI TIBUHABURWA KAGUTA
69,107,YOWERI MUSEVENI TIBUHABURWA KAGUTA
139,296,YOWERI MUSEVENI TIBUHABURWA KAGUTA
150,242,YOWERI MUSEVENI TIBUHABURWA KAGUTA
114,224,YOWERI MUSEVENI TIBUHABURWA KAGUTA
289,402,YOWERI MUSEVENI TIBUHABURWA KAGUTA
323,427,YOWERI MUSEVENI TIBUHABURWA KAGUTA
150,248,YOWERI MUSEVENI TIBUHABURWA KAGUTA
276,411,YOWERI MUSEVENI TIBUHABURWA KAGUTA
325,417,YOWERI MUSEVENI TIBUHABURWA KAGUTA
577,924,YOWERI MUSEVENI TIBUHABURWA KAGUTA
509,677,YOWERI MUSEVENI TIBUHABURWA KAGUTA
282,392,YOWERI MUSEVENI TIBUHABURWA KAGUTA
109,222,YOWERI MUSEVENI TIBUHABURWA KAGUTA
277,424,YOWERI MUSEVENI TIBUHABURWA KAGUTA
382,556,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2427,2637,YOWERI MUSEVENI TIBUHABURWA KAGUTA
437,853,YOWERI MUSEVENI TIBUHABURWA KAGUTA
63,182,YOWERI MUSEVENI TIBUHABURWA KAGUTA
63,182,YOWERI MUSEVENI TIBUHABURWA KAGUTA
768,1135,YOWERI MUSEVENI TIBUHABURWA KAGUTA
304,610,YOWERI MUSEVENI TIBUHABURWA KAGUTA
425,1232,YOWERI MUSEVENI TIBUHABURWA KAGUTA
216,288,YOWERI MUSEVENI TIBUHABURWA KAGUTA
277,409,YOWERI MUSEVENI TIBUHABURWA KAGUTA
273,339,YOWERI MUSEVENI TIBUHABURWA KAGUTA
181,261,YOWERI MUSEVENI TIBUHABURWA KAGUTA
188,245,YOWERI MUSEVENI TIBUHABURWA KAGUTA
294,373,YOWERI MUSEVENI TIBUHABURWA KAGUTA
314,405,YOWERI MUSEVENI TIBUHABURWA KAGUTA
166,218,YOWERI MUSEVENI TIBUHABURWA KAGUTA
286,355,YOWERI MUSEVENI TIBUHABURWA KAGUTA
272,360,YOWERI MUSEVENI TIBUHABURWA KAGUTA
398,450,YOWERI MUSEVENI TIBUHABURWA KAGUTA
200,301,YOWERI MUSEVENI TIBUHABURWA KAGUTA
244,301,YOWERI MUSEVENI TIBUHABURWA KAGUTA
220,293,YOWERI MUSEVENI TIBUHABURWA KAGUTA
175,251,YOWERI MUSEVENI TIBUHABURWA KAGUTA
228,304,YOWERI MUSEVENI TIBUHABURWA KAGUTA
346,409,YOWERI MUSEVENI TIBUHABURWA KAGUTA
308,401,YOWERI MUSEVENI TIBUHABURWA KAGUTA
415,522,YOWERI MUSEVENI TIBUHABURWA KAGUTA
329,434,YOWERI MUSEVENI TIBUHABURWA KAGUTA
271,336,YOWERI MUSEVENI TIBUHABURWA KAGUTA
243,313,YOWERI MUSEVENI TIBUHABURWA KAGUTA
218,268,YOWERI MUSEVENI TIBUHABURWA KAGUTA
326,411,YOWERI MUSEVENI TIBUHABURWA KAGUTA
261,341,YOWERI MUSEVENI TIBUHABURWA KAGUTA
185,266,YOWERI MUSEVENI TIBUHABURWA KAGUTA
260,330,YOWERI MUSEVENI TIBUHABURWA KAGUTA
260,330,YOWERI MUSEVENI TIBUHABURWA KAGUTA
183,285,YOWERI MUSEVENI TIBUHABURWA KAGUTA
178,270,YOWERI MUSEVENI TIBUHABURWA KAGUTA
74,131,YOWERI MUSEVENI TIBUHABURWA KAGUTA
46,105,YOWERI MUSEVENI TIBUHABURWA KAGUTA
58,138,YOWERI MUSEVENI TIBUHABURWA KAGUTA
298,443,YOWERI MUSEVENI TIBUHABURWA KAGUTA
207,348,YOWERI MUSEVENI TIBUHABURWA KAGUTA
236,393,YOWERI MUSEVENI TIBUHABURWA KAGUTA
620,922,YOWERI MUSEVENI TIBUHABURWA KAGUTA
252,355,YOWERI MUSEVENI TIBUHABURWA KAGUTA
413,625,YOWERI MUSEVENI TIBUHABURWA KAGUTA
169,377,YOWERI MUSEVENI TIBUHABURWA KAGUTA
286,501,YOWERI MUSEVENI TIBUHABURWA KAGUTA
488,1130,YOWERI MUSEVENI TIBUHABURWA KAGUTA
163,414,YOWERI MUSEVENI TIBUHABURWA KAGUTA
609,1213,YOWERI MUSEVENI TIBUHABURWA KAGUTA
305,649,YOWERI MUSEVENI TIBUHABURWA KAGUTA
99,242,YOWERI MUSEVENI TIBUHABURWA KAGUTA
116,378,YOWERI MUSEVENI TIBUHABURWA KAGUTA
125,356,YOWERI MUSEVENI TIBUHABURWA KAGUTA
84,339,YOWERI MUSEVENI TIBUHABURWA KAGUTA
71,284,YOWERI MUSEVENI TIBUHABURWA KAGUTA
68,224,YOWERI MUSEVENI TIBUHABURWA KAGUTA
79,385,YOWERI MUSEVENI TIBUHABURWA KAGUTA
78,262,YOWERI MUSEVENI TIBUHABURWA KAGUTA
93,334,YOWERI MUSEVENI TIBUHABURWA KAGUTA
126,295,YOWERI MUSEVENI TIBUHABURWA KAGUTA
86,249,YOWERI MUSEVENI TIBUHABURWA KAGUTA
134,384,YOWERI MUSEVENI TIBUHABURWA KAGUTA
191,518,YOWERI MUSEVENI TIBUHABURWA KAGUTA
92,325,YOWERI MUSEVENI TIBUHABURWA KAGUTA
137,301,YOWERI MUSEVENI TIBUHABURWA KAGUTA
134,304,YOWERI MUSEVENI TIBUHABURWA KAGUTA
49,244,YOWERI MUSEVENI TIBUHABURWA KAGUTA
89,251,YOWERI MUSEVENI TIBUHABURWA KAGUTA
163,377,YOWERI MUSEVENI TIBUHABURWA KAGUTA
123,320,YOWERI MUSEVENI TIBUHABURWA KAGUTA
110,328,YOWERI MUSEVENI TIBUHABURWA KAGUTA
90,274,YOWERI MUSEVENI TIBUHABURWA KAGUTA
80,272,YOWERI MUSEVENI TIBUHABURWA KAGUTA
86,302,YOWERI MUSEVENI TIBUHABURWA KAGUTA
95,324,YOWERI MUSEVENI TIBUHABURWA KAGUTA
36,240,YOWERI MUSEVENI TIBUHABURWA KAGUTA
65,218,YOWERI MUSEVENI TIBUHABURWA KAGUTA
76,200,YOWERI MUSEVENI TIBUHABURWA KAGUTA
394,445,YOWERI MUSEVENI TIBUHABURWA KAGUTA
304,357,YOWERI MUSEVENI TIBUHABURWA KAGUTA
324,382,YOWERI MUSEVENI TIBUHABURWA KAGUTA
262,319,YOWERI MUSEVENI TIBUHABURWA KAGUTA
217,259,YOWERI MUSEVENI TIBUHABURWA KAGUTA
369,436,YOWERI MUSEVENI TIBUHABURWA KAGUTA
474,536,YOWERI MUSEVENI TIBUHABURWA KAGUTA
209,264,YOWERI MUSEVENI TIBUHABURWA KAGUTA
223,266,YOWERI MUSEVENI TIBUHABURWA KAGUTA
449,481,YOWERI MUSEVENI TIBUHABURWA KAGUTA
420,437,YOWERI MUSEVENI TIBUHABURWA KAGUTA
320,344,YOWERI MUSEVENI TIBUHABURWA KAGUTA
283,317,YOWERI MUSEVENI TIBUHABURWA KAGUTA
215,254,YOWERI MUSEVENI TIBUHABURWA KAGUTA
413,491,YOWERI MUSEVENI TIBUHABURWA KAGUTA
338,386,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1248,1293,YOWERI MUSEVENI TIBUHABURWA KAGUTA
432,494,YOWERI MUSEVENI TIBUHABURWA KAGUTA
172,206,YOWERI MUSEVENI TIBUHABURWA KAGUTA
148,221,YOWERI MUSEVENI TIBUHABURWA KAGUTA
165,219,YOWERI MUSEVENI TIBUHABURWA KAGUTA
161,225,YOWERI MUSEVENI TIBUHABURWA KAGUTA
826,1096,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1595,1922,YOWERI MUSEVENI TIBUHABURWA KAGUTA
299,397,YOWERI MUSEVENI TIBUHABURWA KAGUTA
287,353,YOWERI MUSEVENI TIBUHABURWA KAGUTA
620,825,YOWERI MUSEVENI TIBUHABURWA KAGUTA
796,959,YOWERI MUSEVENI TIBUHABURWA KAGUTA
675,786,YOWERI MUSEVENI TIBUHABURWA KAGUTA
701,955,YOWERI MUSEVENI TIBUHABURWA KAGUTA
195,826,YOWERI MUSEVENI TIBUHABURWA KAGUTA
466,1552,YOWERI MUSEVENI TIBUHABURWA KAGUTA
528,1566,YOWERI MUSEVENI TIBUHABURWA KAGUTA
206,1065,YOWERI MUSEVENI TIBUHABURWA KAGUTA
324,1672,YOWERI MUSEVENI TIBUHABURWA KAGUTA
125,539,YOWERI MUSEVENI TIBUHABURWA KAGUTA
106,414,YOWERI MUSEVENI TIBUHABURWA KAGUTA
118,395,YOWERI MUSEVENI TIBUHABURWA KAGUTA
90,382,YOWERI MUSEVENI TIBUHABURWA KAGUTA
64,364,YOWERI MUSEVENI TIBUHABURWA KAGUTA
83,220,YOWERI MUSEVENI TIBUHABURWA KAGUTA
82,196,YOWERI MUSEVENI TIBUHABURWA KAGUTA
114,547,YOWERI MUSEVENI TIBUHABURWA KAGUTA
68,413,YOWERI MUSEVENI TIBUHABURWA KAGUTA
66,392,YOWERI MUSEVENI TIBUHABURWA KAGUTA
67,460,YOWERI MUSEVENI TIBUHABURWA KAGUTA
86,555,YOWERI MUSEVENI TIBUHABURWA KAGUTA
95,575,YOWERI MUSEVENI TIBUHABURWA KAGUTA
77,474,YOWERI MUSEVENI TIBUHABURWA KAGUTA
133,504,YOWERI MUSEVENI TIBUHABURWA KAGUTA
119,507,YOWERI MUSEVENI TIBUHABURWA KAGUTA
87,517,YOWERI MUSEVENI TIBUHABURWA KAGUTA
152,385,YOWERI MUSEVENI TIBUHABURWA KAGUTA
76,503,YOWERI MUSEVENI TIBUHABURWA KAGUTA
19,109,YOWERI MUSEVENI TIBUHABURWA KAGUTA
179,531,YOWERI MUSEVENI TIBUHABURWA KAGUTA
85,382,YOWERI MUSEVENI TIBUHABURWA KAGUTA
128,465,YOWERI MUSEVENI TIBUHABURWA KAGUTA
33,165,YOWERI MUSEVENI TIBUHABURWA KAGUTA
44,218,YOWERI MUSEVENI TIBUHABURWA KAGUTA
205,571,YOWERI MUSEVENI TIBUHABURWA KAGUTA
45,195,YOWERI MUSEVENI TIBUHABURWA KAGUTA
135,401,YOWERI MUSEVENI TIBUHABURWA KAGUTA
61,396,YOWERI MUSEVENI TIBUHABURWA KAGUTA
63,258,YOWERI MUSEVENI TIBUHABURWA KAGUTA
93,318,YOWERI MUSEVENI TIBUHABURWA KAGUTA
51,260,YOWERI MUSEVENI TIBUHABURWA KAGUTA
70,306,YOWERI MUSEVENI TIBUHABURWA KAGUTA
105,380,YOWERI MUSEVENI TIBUHABURWA KAGUTA
117,442,YOWERI MUSEVENI TIBUHABURWA KAGUTA
92,356,YOWERI MUSEVENI TIBUHABURWA KAGUTA
78,326,YOWERI MUSEVENI TIBUHABURWA KAGUTA
107,313,YOWERI MUSEVENI TIBUHABURWA KAGUTA
97,258,YOWERI MUSEVENI TIBUHABURWA KAGUTA
75,573,YOWERI MUSEVENI TIBUHABURWA KAGUTA
31,575,YOWERI MUSEVENI TIBUHABURWA KAGUTA
86,450,YOWERI MUSEVENI TIBUHABURWA KAGUTA
79,403,YOWERI MUSEVENI TIBUHABURWA KAGUTA
52,251,YOWERI MUSEVENI TIBUHABURWA KAGUTA
64,326,YOWERI MUSEVENI TIBUHABURWA KAGUTA
99,572,YOWERI MUSEVENI TIBUHABURWA KAGUTA
71,462,YOWERI MUSEVENI TIBUHABURWA KAGUTA
78,511,YOWERI MUSEVENI TIBUHABURWA KAGUTA
117,449,YOWERI MUSEVENI TIBUHABURWA KAGUTA
394,793,YOWERI MUSEVENI TIBUHABURWA KAGUTA
111,461,YOWERI MUSEVENI TIBUHABURWA KAGUTA
49,420,YOWERI MUSEVENI TIBUHABURWA KAGUTA
77,440,YOWERI MUSEVENI TIBUHABURWA KAGUTA
143,591,YOWERI MUSEVENI TIBUHABURWA KAGUTA
100,435,YOWERI MUSEVENI TIBUHABURWA KAGUTA
79,407,YOWERI MUSEVENI TIBUHABURWA KAGUTA
89,468,YOWERI MUSEVENI TIBUHABURWA KAGUTA
93,581,YOWERI MUSEVENI TIBUHABURWA KAGUTA
67,400,YOWERI MUSEVENI TIBUHABURWA KAGUTA
52,248,YOWERI MUSEVENI TIBUHABURWA KAGUTA
138,626,YOWERI MUSEVENI TIBUHABURWA KAGUTA
87,402,YOWERI MUSEVENI TIBUHABURWA KAGUTA
52,344,YOWERI MUSEVENI TIBUHABURWA KAGUTA
34,457,YOWERI MUSEVENI TIBUHABURWA KAGUTA
53,701,YOWERI MUSEVENI TIBUHABURWA KAGUTA
51,390,YOWERI MUSEVENI TIBUHABURWA KAGUTA
100,253,YOWERI MUSEVENI TIBUHABURWA KAGUTA
86,298,YOWERI MUSEVENI TIBUHABURWA KAGUTA
79,260,YOWERI MUSEVENI TIBUHABURWA KAGUTA
81,228,YOWERI MUSEVENI TIBUHABURWA KAGUTA
216,312,YOWERI MUSEVENI TIBUHABURWA KAGUTA
94,327,YOWERI MUSEVENI TIBUHABURWA KAGUTA
101,424,YOWERI MUSEVENI TIBUHABURWA KAGUTA
81,386,YOWERI MUSEVENI TIBUHABURWA KAGUTA
68,251,YOWERI MUSEVENI TIBUHABURWA KAGUTA
82,289,YOWERI MUSEVENI TIBUHABURWA KAGUTA
64,287,YOWERI MUSEVENI TIBUHABURWA KAGUTA
146,405,YOWERI MUSEVENI TIBUHABURWA KAGUTA
93,422,YOWERI MUSEVENI TIBUHABURWA KAGUTA
98,385,YOWERI MUSEVENI TIBUHABURWA KAGUTA
98,300,YOWERI MUSEVENI TIBUHABURWA KAGUTA
73,337,YOWERI MUSEVENI TIBUHABURWA KAGUTA
119,519,YOWERI MUSEVENI TIBUHABURWA KAGUTA
30,74,YOWERI MUSEVENI TIBUHABURWA KAGUTA
61,204,YOWERI MUSEVENI TIBUHABURWA KAGUTA
129,372,YOWERI MUSEVENI TIBUHABURWA KAGUTA
103,321,YOWERI MUSEVENI TIBUHABURWA KAGUTA
629,1263,YOWERI MUSEVENI TIBUHABURWA KAGUTA
75,381,YOWERI MUSEVENI TIBUHABURWA KAGUTA
460,1185,YOWERI MUSEVENI TIBUHABURWA KAGUTA
140,390,YOWERI MUSEVENI TIBUHABURWA KAGUTA
158,341,YOWERI MUSEVENI TIBUHABURWA KAGUTA
99,268,YOWERI MUSEVENI TIBUHABURWA KAGUTA
157,456,YOWERI MUSEVENI TIBUHABURWA KAGUTA
88,171,YOWERI MUSEVENI TIBUHABURWA KAGUTA
204,447,YOWERI MUSEVENI TIBUHABURWA KAGUTA
422,1039,YOWERI MUSEVENI TIBUHABURWA KAGUTA
400,1011,YOWERI MUSEVENI TIBUHABURWA KAGUTA
170,430,YOWERI MUSEVENI TIBUHABURWA KAGUTA
530,1224,YOWERI MUSEVENI TIBUHABURWA KAGUTA
723,2021,YOWERI MUSEVENI TIBUHABURWA KAGUTA
661,1653,YOWERI MUSEVENI TIBUHABURWA KAGUTA
785,1692,YOWERI MUSEVENI TIBUHABURWA KAGUTA
125,421,YOWERI MUSEVENI TIBUHABURWA KAGUTA
103,267,YOWERI MUSEVENI TIBUHABURWA KAGUTA
275,396,YOWERI MUSEVENI TIBUHABURWA KAGUTA
284,361,YOWERI MUSEVENI TIBUHABURWA KAGUTA
355,490,YOWERI MUSEVENI TIBUHABURWA KAGUTA
355,490,YOWERI MUSEVENI TIBUHABURWA KAGUTA
302,393,YOWERI MUSEVENI TIBUHABURWA KAGUTA
376,488,YOWERI MUSEVENI TIBUHABURWA KAGUTA
321,388,YOWERI MUSEVENI TIBUHABURWA KAGUTA
321,388,YOWERI MUSEVENI TIBUHABURWA KAGUTA
438,566,YOWERI MUSEVENI TIBUHABURWA KAGUTA
176,267,YOWERI MUSEVENI TIBUHABURWA KAGUTA
193,317,YOWERI MUSEVENI TIBUHABURWA KAGUTA
184,278,YOWERI MUSEVENI TIBUHABURWA KAGUTA
187,264,YOWERI MUSEVENI TIBUHABURWA KAGUTA
206,306,YOWERI MUSEVENI TIBUHABURWA KAGUTA
206,306,YOWERI MUSEVENI TIBUHABURWA KAGUTA
562,689,YOWERI MUSEVENI TIBUHABURWA KAGUTA
352,424,YOWERI MUSEVENI TIBUHABURWA KAGUTA
355,465,YOWERI MUSEVENI TIBUHABURWA KAGUTA
273,390,YOWERI MUSEVENI TIBUHABURWA KAGUTA
276,387,YOWERI MUSEVENI TIBUHABURWA KAGUTA
312,416,YOWERI MUSEVENI TIBUHABURWA KAGUTA
351,419,YOWERI MUSEVENI TIBUHABURWA KAGUTA
300,374,YOWERI MUSEVENI TIBUHABURWA KAGUTA
314,437,YOWERI MUSEVENI TIBUHABURWA KAGUTA
90,303,YOWERI MUSEVENI TIBUHABURWA KAGUTA
324,409,YOWERI MUSEVENI TIBUHABURWA KAGUTA
75,181,YOWERI MUSEVENI TIBUHABURWA KAGUTA
131,251,YOWERI MUSEVENI TIBUHABURWA KAGUTA
263,282,YOWERI MUSEVENI TIBUHABURWA KAGUTA
146,259,YOWERI MUSEVENI TIBUHABURWA KAGUTA
134,236,YOWERI MUSEVENI TIBUHABURWA KAGUTA
261,421,YOWERI MUSEVENI TIBUHABURWA KAGUTA
139,244,YOWERI MUSEVENI TIBUHABURWA KAGUTA
208,334,YOWERI MUSEVENI TIBUHABURWA KAGUTA
220,333,YOWERI MUSEVENI TIBUHABURWA KAGUTA
127,276,YOWERI MUSEVENI TIBUHABURWA KAGUTA
126,327,YOWERI MUSEVENI TIBUHABURWA KAGUTA
66,133,YOWERI MUSEVENI TIBUHABURWA KAGUTA
52,116,YOWERI MUSEVENI TIBUHABURWA KAGUTA
123,155,YOWERI MUSEVENI TIBUHABURWA KAGUTA
230,504,YOWERI MUSEVENI TIBUHABURWA KAGUTA
149,339,YOWERI MUSEVENI TIBUHABURWA KAGUTA
120,241,YOWERI MUSEVENI TIBUHABURWA KAGUTA
285,332,YOWERI MUSEVENI TIBUHABURWA KAGUTA
225,367,YOWERI MUSEVENI TIBUHABURWA KAGUTA
57,383,YOWERI MUSEVENI TIBUHABURWA KAGUTA
180,386,YOWERI MUSEVENI TIBUHABURWA KAGUTA
180,386,YOWERI MUSEVENI TIBUHABURWA KAGUTA
170,237,YOWERI MUSEVENI TIBUHABURWA KAGUTA
158,251,YOWERI MUSEVENI TIBUHABURWA KAGUTA
885,1016,YOWERI MUSEVENI TIBUHABURWA KAGUTA
855,1140,YOWERI MUSEVENI TIBUHABURWA KAGUTA
97,366,YOWERI MUSEVENI TIBUHABURWA KAGUTA
88,345,YOWERI MUSEVENI TIBUHABURWA KAGUTA
