Constituency,Name,Political Party,Votes,ID
CHUA WEST COUNTY,OTTO  MIKE,INDEPENDENT,316,136
CHUA WEST COUNTY,OCAYA  CHARLES,INDEPENDENT,275,136
KITGUM MUNICIPALITY,ONEKA LIT DENIS AMERE,FDC,3263,137
KITGUM MUNICIPALITY,ATIM BEATRICE ANYWAR,NRM,3052,137
KITGUM MUNICIPALITY,OLENGE JIMMY KOMAKECH OLANYA,UPC,3045,137
KITGUM MUNICIPALITY,ORYEM HENRY KISSINGER,INDEPENDENT,1297,137
KITGUM MUNICIPALITY,AGECH ALBERT GLADSTONE SMOKE,DP,149,137
KOBOKO COUNTY,BABA  JAMES BOLIBA,NRM,10609,138
KOBOKO COUNTY,BAIGA  RONALD,INDEPENDENT,5317,138
KOBOKO COUNTY,NGINYA  HASSAN SAID,INDEPENDENT,4017,138
KOBOKO COUNTY,ONZIMA  DONALD DEGASON,INDEPENDENT,2861,138
KOBOKO COUNTY,DRONYI  DAVID RIKAZUBE,INDEPENDENT,496,138
KOBOKO COUNTY,YUGA  JUMA ONZIGA,INDEPENDENT,411,138
KOBOKO MUNICIPALITY,AYUME  CHARLES,NRM,7645,139
KOBOKO MUNICIPALITY,YAKANI  CHARLES,INDEPENDENT,3400,139
KOBOKO NORTH COUNTY,MUSA  NOAH,INDEPENDENT,7037,139
KOBOKO NORTH COUNTY,ASIKU  ELIAS ELLY,NRM,6720,139
KOBOKO NORTH COUNTY,OCCUR  RASUL,FDC,476,139
KOLE NORTH COUNTY,OPIO  SAMUEL ACUTI,INDEPENDENT,16334,140
KOLE NORTH COUNTY,OKELLO  BONNY DESALES,NRM,9632,140
KOLE NORTH COUNTY,MUNU  DAVID DEO,INDEPENDENT,3242,140
KOLE NORTH COUNTY,OGWANG  DICKENS,INDEPENDENT,2011,140
KOLE NORTH COUNTY,OGWANG  PETER,UPC,1589,140
KOLE SOUTH COUNTY,OCEN  PETER,INDEPENDENT,12926,140
KOLE SOUTH COUNTY,RWANKOTE  DEAN DENIS,INDEPENDENT,10878,140
KOLE SOUTH COUNTY,ALULA  DAVID,NRM,7548,140
KOLE SOUTH COUNTY,EBIL  FRED,UPC,3191,140
KOLE SOUTH COUNTY,OGWENG  EDDY MORRIS,INDEPENDENT,812,140
KOLE SOUTH COUNTY,AMANGOLE  BOSCO,ANT,103,140
JIE COUNTY,LOKII  PETER ABRAHAMS,NRM,14914,141
JIE COUNTY,LOCHAP  PAUL,INDEPENDENT,13866,141
KOTIDO MUNICIPALITY,ISMAIL  MUHAMMAD LOMWAR,NRM,7260,142
KOTIDO MUNICIPALITY,ADOME  BILDAD MOSES,INDEPENDENT,5575,142
KANYUM COUNTY,OPOLOT  SIMON PETER OKWALINGA,NRM,17660,143
KANYUM COUNTY,OROT  ISMAEL,INDEPENDENT,3904,143
KANYUM COUNTY,ODONG  CHARLES,FDC,1869,143
KANYUM COUNTY,ASIO  MARCELINA,INDEPENDENT,1162,143
KUMI COUNTY,OKAASAI  SIDRONIUS OPOLOT,NRM,15491,144
KUMI COUNTY,OPIO  SOLOMON,INDEPENDENT,8991,144
KUMI COUNTY,OBILAN  SIMON PETER,INDEPENDENT,2655,144
KUMI COUNTY,OBORE  GODFREY,INDEPENDENT,2096,144
KUMI COUNTY,EMORUT  SAM,FDC,1650,144
KUMI COUNTY,ILAKUT  JOHN CHARLES,DP,710,144
KUMI COUNTY,OSAMA  TWALIB,NUP,195,144
KUMI MUNICIPALITY,AOGON  SILAS,INDEPENDENT,6168,145
KUMI MUNICIPALITY,OONYU  MAHMOOD ONYI,INDEPENDENT,3069,145
KUMI MUNICIPALITY,AMONGIN  APORU CHRISTINE HELLEN,NRM,1693,145
KUMI MUNICIPALITY,OMALINGA  SIMON PETER,INDEPENDENT,636,145
KUMI MUNICIPALITY,OCEN  ROBERT,FDC,172,145
KUMI MUNICIPALITY,ODONG  JACKSON,INDEPENDENT,107,145
KUMI MUNICIPALITY,IMALINGAT  MARTIN,NUP,72,145
KUMI MUNICIPALITY,OLUKA  GODFREY,INDEPENDENT,63,145
KUMI MUNICIPALITY,ANGURIA  ALEXANDER,INDEPENDENT,44,145
KWANIA COUNTY,AYOO  TONNY,NRM,8216,146
KWANIA COUNTY,OMARA  INNOCENT    DAVID,UPC,8036,146
KWANIA COUNTY,OKELLO  JIMMY EMMANUEL ECUM,INDEPENDENT,2956,146
KWANIA COUNTY,ADUPA  PATRICK NELSON,INDEPENDENT,2668,146
KWANIA COUNTY,OGUTI  GEOFFREY OJEDE,INDEPENDENT,1162,146
KWANIA COUNTY,ADIGA  ODUR ANDREW,FDC,404,146
KWANIA COUNTY,OGWAL  EMMANUEL AGWENO,INDEPENDENT,215,146
KWANIA NORTH COUNTY,OKAE  BOB,UPC,14907,147
KWANIA NORTH COUNTY,ONGU  JAMES,NRM,13406,147
KWANIA NORTH COUNTY,OMARA  CHRISTOPHER,INDEPENDENT,2152,147
KWANIA NORTH COUNTY,ERACH  ANDREW,INDEPENDENT,455,147
KWEEN COUNTY,CHEMONGES  WILLIAM,NRM,19069,148
KWEEN COUNTY,YEKO  CALVIN,FDC,9799,148
SOI COUNTY,CHEMASWET  ABDI FADHIL KISOS,NRM,1984,148
SOI COUNTY,MALINGA  ISAAC MAIKUT,INDEPENDENT,1682,149
SOI COUNTY,SATYA  PETER,INDEPENDENT,770,149
BUTEMBA COUNTY,BINGI  PATRICK   NYANZI,NRM,12411,150
BUTEMBA COUNTY,KAMUSIIME  INNOCENT PENTAGON,INDEPENDENT,11336,150
BUTEMBA COUNTY,MPEIRWE  MICHAEL   KATUNGI,INDEPENDENT,6033,150
BUTEMBA COUNTY,MAWETO  JACKSON,NUP,3351,150
BUTEMBA COUNTY,BAREKYE  DANIEL,INDEPENDENT,461,150
BUTEMBA COUNTY,LUBONERA  YOWEL,INDEPENDENT,256,150
NTWETWE COUNTY,SSEBIKAALI  YOWEERI,NRM,13466,151
NTWETWE COUNTY,SSEKAJJA  RONALD,INDEPENDENT,7832,151
NTWETWE COUNTY,MANDE  EDWARD,NUP,6918,151
NTWETWE COUNTY,KKONDE  WILSON,INDEPENDENT,1113,151
KYAKA CENTRAL COUNTY,BRIGHT  TOM AMOOTI,NRM,15956,152
KYAKA CENTRAL COUNTY,BIRIHARIIWE  ERYEZA,INDEPENDENT,8983,152
KYAKA CENTRAL COUNTY,MUKAMA  JOVAN,FDC,173,152
KYAKA CENTRAL COUNTY,BYEKWASO  MOSES,DP,132,152
KYAKA NORTH COUNTY,ASABA  NSABIMANA PAUL,NRM,16731,153
KYAKA NORTH COUNTY,KAHEERU  VINCENT FREEDOM,INDEPENDENT,15392,153
KYAKA SOUTH COUNTY,KAFUUZI JACKSON KARUGABA,NRM,,153
MWENGE CENTRAL COUNTY,BUTIME  TOM ATEENYI,NRM,20428,154
MWENGE CENTRAL COUNTY,MUSIIME  WILSON,INDEPENDENT,10551,154
MWENGE CENTRAL COUNTY,MUHUMUZA  SIMON KATEEBA,INDEPENDENT,1612,154
MWENGE CENTRAL COUNTY,BAMUGAYA  JEROME BARRY,INDEPENDENT,622,154
MWENGE CENTRAL COUNTY,KALIBA  SAMUEL MURORWA,FDC,513,154
MWENGE CENTRAL COUNTY,BUSINGE  WILSON,ANT,239,154
MWENGE COUNTY NORTH,MUHUMUZA DAVID,NRM,19933,155
MWENGE COUNTY NORTH,AKUGUZIBWE LAWRENCE,INDEPENDENT,17754,155
MWENGE COUNTY NORTH,MURIMBANYI PROTASE,INDEPENDENT,375,155
MWENGE COUNTY NORTH,NATUKUNDA INNICENT BITARIHO,NUP,127,155
MWENGE COUNTY SOUTH,KATALIHWA  DONALD BYABAZAIRE,NRM,36921,155
MWENGE COUNTY SOUTH,MUGISHA  VICENT,INDEPENDENT,12496,155
MWENGE COUNTY SOUTH,KAGANDA  DAVID BUSINGE,INDEPENDENT,7550,155
MWENGE COUNTY SOUTH,KYOMYA  WILLIAM,NUP,1246,155
MWENGE COUNTY SOUTH,KALIIJA  JAMES,FDC,1167,155
MWENGE COUNTY SOUTH,AKUGIZIBWE  MOSES,ANT,600,155
KAKUUTO COUNTY,LUTAAYA  GEOFREY,NUP,10065,156
KAKUUTO COUNTY,KALEMBA  CHRISTOPHER,NRM,8313,156
KAKUUTO COUNTY,NJUBA  CHARLES NSIMBE,INDEPENDENT,1922,156
KAKUUTO COUNTY,LUBEGA  ISMAIL UTHUMAN,INDEPENDENT,1871,156
KAKUUTO COUNTY,LUBEGA  DRAKE FRANCIS,DP,550,156
KAKUUTO COUNTY,KALULE  FREDRICK ROBERT,INDEPENDENT,135,156
KAKUUTO COUNTY,SEWANYANA  RICHARD,ANT,82,156
KYOTERA COUNTY,LUKWAGO  JOHN PAUL MPALANYI,DP,28230,157
KYOTERA COUNTY,KYEYUNE  HARUNA KASOLO,NRM,20431,157
KYOTERA COUNTY,KIRUMIRA  CHARLES LWANGA,NUP,4004,157
KYOTERA COUNTY,TEBAJWA  ADAM,JEEMA,430,157
KYOTERA COUNTY,SSALI  LIVING STONE,INDEPENDENT,277,157
KYOTERA COUNTY,NDALIKE  SELEGIOUS,INDEPENDENT,59,157
LAMWO COUNTY,OKULLO  AABUKA JALLON ANTHONY,NRM,16393,158
LAMWO COUNTY,OKETAYOT  THOMAS,INDEPENDENT,3358,158
LAMWO COUNTY,OGWOK  JOHN KOMAKECH,FDC,3303,158
LAMWO COUNTY,LUCIMA  OKELLO GEORGE,INDEPENDENT,1854,158
LAMWO COUNTY,AMENA  OLOYA CHARLES LAWINYO,NUP,628,158
LAMWO COUNTY,KANTO  JOSEPH OCHEN,INDEPENDENT,293,158
PALABEK COUNTY,ONEK HILARY OBALOKER,NRM,,159
ERUTE COUNTY NORTH,AKELLO  CHRISTINE,NRM,14372,159
ERUTE COUNTY NORTH,ABAC ACON  CHARLES ANGIRO GUTOMOI,FDC,9245,159
ERUTE COUNTY NORTH,EBONG  JIMMY SAM,INDEPENDENT,3520,159
ERUTE COUNTY NORTH,OMARA  GEOFFREY ADIGI,NRM,0,159
ERUTE COUNTY NORTH,OPIO  CHARLES BONNY,UPC,0,159
ERUTE COUNTY SOUTH,ODUR  JONATHAN,UPC,17763,159
ERUTE COUNTY SOUTH,ENGOLA  SAM,NRM,15606,159
ERUTE COUNTY SOUTH,ADUPA  JOHNSON OREC,INDEPENDENT,787,159
ERUTE COUNTY SOUTH,ETII  CAXTON,INDEPENDENT,328,159
LIRA EAST DIVISION,AKENA  JAMES MICHAEL JIMMY,UPC,14119,160
LIRA EAST DIVISION,OCEN  JAMES,INDEPENDENT,7222,160
LIRA EAST DIVISION,ONYANGO  APOLLO,NRM,2881,160
LIRA EAST DIVISION,AKENA  PATRICK ROLEX,INDEPENDENT,2042,160
LIRA EAST DIVISION,ETIANG  MOSES,INDEPENDENT,1267,160
LIRA EAST DIVISION,ONGOM  ISAAC INNOCENT,INDEPENDENT,204,160
LIRA EAST DIVISION,AROMA  PATRICK,INDEPENDENT,137,160
LIRA WEST DIVISION,OBONG  VINCENT SHEDRICK,INDEPENDENT,9185,160
LIRA WEST DIVISION,EKWANG  HENRY CILODYANG,UPC,7259,160
LIRA WEST DIVISION,OKAO  JOEL,FDC,2619,160
LIRA WEST DIVISION,AWICH  POLLAR OKWIR,NRM,2305,160
LIRA WEST DIVISION,OBUA  OGWAL BENSON,INDEPENDENT,1089,160
LIRA WEST DIVISION,OJUKA  ANTHONY,INDEPENDENT,1071,160
LIRA WEST DIVISION,OPIO  PATRICK,NUP,397,160
LIRA WEST DIVISION,OKELLO  DENIS BLAIR ODONGO,INDEPENDENT,340,160
LIRA WEST DIVISION,AYO  SAMUEL GEORGE OLYET,ANT,248,160
LIRA WEST DIVISION,OBWOL  TONNY WALTER,INDEPENDENT,232,160
LIRA WEST DIVISION,OKELLO  AYOKA SIMON,INDEPENDENT,210,160
LIRA WEST DIVISION,OLARA  EDWARD SILAS,INDEPENDENT,134,160
LUUKA NORTH COUNTY,KYOBE  LUKE INYENSIKO,NRM,16159,161
LUUKA NORTH COUNTY,BAGOOLE  NGOBI JOHN,INDEPENDENT,10782,161
LUUKA NORTH COUNTY,WAMBI  PETER,NUP,1620,161
LUUKA NORTH COUNTY,NTAMBAZI  NATHAN,INDEPENDENT,432,161
LUUKA NORTH COUNTY,MUYOMBA  HENRY,FDC,102,161
LUUKA SOUTH COUNTY,KISA  STEPHEN BAKUBALWAYO,NRM,16910,161
LUUKA SOUTH COUNTY,KIDHUGUDHU  LUCY LANYERO,INDEPENDENT,6214,161
LUUKA SOUTH COUNTY,MULIKO  IKANZA PAUL JULIUS,INDEPENDENT,4424,161
LUUKA SOUTH COUNTY,NAMUFUMBA  PENINAH WINFRED,INDEPENDENT,2207,161
LUUKA SOUTH COUNTY,KAWANGUZI  SOWEDI BILALI,EPU,1895,161
LUUKA SOUTH COUNTY,KIIRYA  DANIEL NGOBI,FDC,558,161
LUUKA SOUTH COUNTY,TENYWA  NOAH,ANT,272,161
BAMUNANIKA COUNTY,SSEKITOLEEKO  ROBERT,NUP,27850,162
BAMUNANIKA COUNTY,MUYINGO  JOHN CHRYSESTOM,NRM,24463,162
BAMUNANIKA COUNTY,MUYINGO  RONALD,INDEPENDENT,1424,162
BAMUNANIKA COUNTY,MATOVU  MOSES,ANT,483,162
BAMUNANIKA COUNTY,KALYESUBULA  ALEX,FDC,422,162
KATIKAMU COUNTY NORTH,SEKABIRA  DENES,NUP,18716,163
KATIKAMU COUNTY NORTH,GADDAFI  NASSUR,NRM,10771,163
KATIKAMU COUNTY NORTH,NDAWULA  RONALD,INDEPENDENT,7006,163
KATIKAMU COUNTY NORTH,SSEBYALA  CHARLES,DP,4917,163
KATIKAMU COUNTY NORTH,MAKAIRE  FREDRICK,INDEPENDENT,3416,163
KATIKAMU COUNTY NORTH,KIZZA  RONALD SSENYANGE,INDEPENDENT,655,163
KATIKAMU COUNTY NORTH,KASAGGA  RONALD BAZANYANENGO,FIL,122,163
KATIKAMU COUNTY SOUTH,KIRUMIRA  HASSAN,NUP,21197,164
KATIKAMU COUNTY SOUTH,MUWANGA  ALFRED,INDEPENDENT,9798,164
KATIKAMU COUNTY SOUTH,MAGARA  PATRICIA,NRM,8132,164
KATIKAMU COUNTY SOUTH,KALUME  ABUBAKER,INDEPENDENT,6528,164
KATIKAMU COUNTY SOUTH,SSEMBATYA  EDWARD NDAWULA,INDEPENDENT,1659,164
KATIKAMU COUNTY SOUTH,KABAALE  ALLAN,INDEPENDENT,666,164
KATIKAMU COUNTY SOUTH,SSEMAKULA  GEORGE,DP,554,164
KATIKAMU COUNTY SOUTH,SSENABULYA  ALEX NATHAN,INDEPENDENT,297,164
BUKOTO COUNTY MID-WEST,SSEJJOBA  ISAAC,NRM,12927,165
BUKOTO COUNTY MID-WEST,MUYOMBA  JOSEPH KASOZI,INDEPENDENT,9015,165
BUKOTO COUNTY MID-WEST,NABALAMBA  ASMAT,JEEMA,7716,165
BUKOTO COUNTY MID-WEST,SSEMAGANDA  NICHOLAS,NUP,3326,165
BUKOTO COUNTY MID-WEST,PRINCE  ARTHUR SSAJJABI,INDEPENDENT,335,165
BUKOTO COUNTY WEST,SSENTAYI  MUHAMAD,NRM,12882,166
BUKOTO COUNTY WEST,BIRIMUMASO  MULINDWA ERINANTO,INDEPENDENT,7910,166
BUKOTO COUNTY WEST,MUGABE  OLIVIA,INDEPENDENT,6115,166
BUKOTO COUNTY WEST,KAMANZI  FRANCIS,NUP,1001,166
BUKOTO COUNTY WEST,SERUWUGE  YASIN,FDC,101,166
BUKOTO COUNTY WEST,MUSINGUZI  RONALD,ANT,89,166
BUKOTO COUNTYSOUTH,KAGABO  TWAHA MZEE,NUP,8883,167
BUKOTO COUNTYSOUTH,HAJI KIYIMBA  ABDUL,NRM,6684,167
BUKOTO COUNTYSOUTH,SSENTAMU  JULIUS,INDEPENDENT,5621,167
BUKOTO COUNTYSOUTH,NAKIMERA  BERNA,INDEPENDENT,3205,167
KABULA COUNTY,ASIIMWE  K ENOSI,NRM,13721,168
KABULA COUNTY,WASSWA  ACHILLES KAWOOYA,INDEPENDENT,12373,168
KABULA COUNTY,KAKOOZA  JAMES,INDEPENDENT,4379,168
KABULA COUNTY,SSEMANDA  MOSES ALI,INDEPENDENT,602,168
LOWER MADI COUNTY,AFIDRA  OLEMA RONALD,NRM,11238,169
LOWER MADI COUNTY,OGAMA  ALLI ISMAIL,INDEPENDENT,10568,169
LOWER MADI COUNTY,AKUMA  RONALD,DP,152,169
LOWER MADI COUNTY,JURUGA  PATRICK,FDC,141,169
UPPER MADI COUNTY,ETUKA  ISAAC JOAKINO,NRM,6954,170
UPPER MADI COUNTY,MADIRA  JIMMY,INDEPENDENT,3395,170
UPPER MADI COUNTY,DRITO  MARTIN ANDI,INDEPENDENT,2594,170
UPPER MADI COUNTY,ATRIA  JACKSON,INDEPENDENT,1215,170
UPPER MADI COUNTY,OYUA  CHRIS CHARLES,ANT,805,170
UPPER MADI COUNTY,ARUMADRI  KIWAWA GILBERT,INDEPENDENT,574,170
UPPER MADI COUNTY,BAMUKE  DERRICK,NUP,450,170
BUBULO COUNTY WEST,WERIKHE  PETER CHRISTOPHER,NRM,10339,171
BUBULO COUNTY WEST,MATEMBU  WATAKA CHRISS,FDC,9136,171
BUBULO COUNTY WEST,NATAKA  MICHAEL RICHARD,INDEPENDENT,6396,171
BUBULO COUNTY WEST,SIMIYU  JOHN,INDEPENDENT,4797,171
BUBULO COUNTY WEST,WOSERE  ROBERT,NUP,586,171
BUBULO COUNTY WEST,BUTITA  PAUL,DP,296,171
BUTIRU COUNTY,WAKOOLI  GODFREY,NRM,16070,172
BUTIRU COUNTY,TINGU  LORNA MAKUMA SIMIYU,INDEPENDENT,1080,172
BUTIRU COUNTY,YIGA  SAMUEL JOEL,NUP,571,172
BUTIRU COUNTY,MWALYE  STEVENS,INDEPENDENT,491,172
MARACHA COUNTY,OGUZU LEE  DENIS,FDC,12496,173
MARACHA COUNTY,AGUTA  SAM,NRM,5690,173
MARACHA COUNTY,AADROA  ALEX ONZIMA,INDEPENDENT,4866,173
MARACHA COUNTY,LETI  YOPHAS,INDEPENDENT,336,173
MARACHA EAST COUNTY,LEMATIA  RUTH MOLLY ONDORU,NRM,12460,174
MARACHA EAST COUNTY,ACIDRI  JAMES,INDEPENDENT,6543,174
MARACHA EAST COUNTY,MAWA  JOHN,FDC,2768,174
MARACHA EAST COUNTY,AJIDIRU  EMILLY,INDEPENDENT,2178,174
MARACHA EAST COUNTY,ONZIMA  SUNDAY,INDEPENDENT,1473,174
MARACHA EAST COUNTY,ADIGA  WILFRED LAWRENCE,INDEPENDENT,705,174
MARACHA EAST COUNTY,ABITI  EMMANUEL,DP,255,174
BUKOTO COUNTY CENTRAL,SEBAMALA  RICHARD,DP,9916,175
BUKOTO COUNTY CENTRAL,SSEKANDI  EDWARD KIWANUKA,NRM,4902,175
BUKOTO COUNTY CENTRAL,KAZIBWE  MAGELLAN,NUP,1701,175
BUKOTO COUNTY CENTRAL,SSEREMBA  GODFREY MAYANJA,INDEPENDENT,1017,175
BUKOTO COUNTY CENTRAL,DDEMBE  FREDRICK,INDEPENDENT,672,175
BUKOTO COUNTY CENTRAL,NAMAGANDA  EVELINE,INDEPENDENT,224,175
BUKOTO COUNTY EAST,KANYIKE  RONALD EVANS,NUP,8630,176
BUKOTO COUNTY EAST,BABIRYE  KITYO SARAH,NRM,5643,176
BUKOTO COUNTY EAST,NKOYOOYO  ABDALLAH,INDEPENDENT,2221,176
BUKOTO COUNTY EAST,BAYIGA  CISSY OESCHGER,DP,134,176
BUKOTO COUNTY EAST,KIZITO  BAKER DAVID,INDEPENDENT,125,176
BUKOTO COUNTY EAST,MUWANGUZI  DOMINIC,INDEPENDENT,86,176
BUKOTO COUNTY EAST,DDIBA  FAISWALI,INDEPENDENT,60,176
KIMAANYA-KABONERA DIVISION,BWANIKA  ABED,NUP,15341,177
KIMAANYA-KABONERA DIVISION,ASIIMWE  ROBERT,NRM,5864,177
KIMAANYA-KABONERA DIVISION,KAYEMBA  GODFREY,FDC,1743,177
KIMAANYA-KABONERA DIVISION,MBABAALI  JUDE,DP,688,177
KIMAANYA-KABONERA DIVISION,SSIMBWA  JOHN,INDEPENDENT,501,177
KIMAANYA-KABONERA DIVISION,LUBYAYI  HASSANE,INDEPENDENT,360,177
KIMAANYA-KABONERA DIVISION,ZIKUSOKA  HERBERT,INDEPENDENT,229,177
NYENDO-MUKUNGWE DIVISION,MPUUGA  MATHIAS,NUP,26810,177
NYENDO-MUKUNGWE DIVISION,KIYIMBA  SARAH,NRM,11238,177
NYENDO-MUKUNGWE DIVISION,MUKASA  FRED MBIDDE,DP,3513,177
NYENDO-MUKUNGWE DIVISION,SSEMPA  PETER,INDEPENDENT,1127,177
NYENDO-MUKUNGWE DIVISION,SSENYONGA  BADRU ABAASI,JEEMA,720,177
NYENDO-MUKUNGWE DIVISION,KISEKKA  NTALE DANIEL,INDEPENDENT,639,177
NYENDO-MUKUNGWE DIVISION,SSEKABIRA  MICHAEL,INDEPENDENT,623,177
NYENDO-MUKUNGWE DIVISION,KAGIRI  DANIEL,ANT,125,177
BUJENJE COUNTY,KIIZA  KENNETH NYENDWOHA,INDEPENDENT,16301,178
BUJENJE COUNTY,KASUMBA  PATRICK PADDY,NRM,10277,178
BUJENJE COUNTY,NTEGEKA  FULGENSIUS,INDEPENDENT,1426,178
BUJENJE COUNTY,KYOTASOBORA  PHINEHAS,INDEPENDENT,874,178
BURULI COUNTY,AKUGIZIBWE  ALED RONALD,INDEPENDENT,8848,179
BURULI COUNTY,BINTU  LUKUMU JALIA,INDEPENDENT,8316,179
BURULI COUNTY,KABINDI  STEPHEN,NRM,7430,179
BURULI COUNTY,BANAGE  FREDRICK BITAMALE,FDC,362,179
MASINDI MUNICIPALITY,BUSINGE  JOAB,FDC,10440,180
MASINDI MUNICIPALITY,KIIZA  MONDAY ERNEST,NRM,10276,180
MASINDI MUNICIPALITY,BYAMUKAMA  ROGERS,INDEPENDENT,7031,180
MASINDI MUNICIPALITY,KANTI  ROGERS,NUP,1382,180
MASINDI MUNICIPALITY,TURYHIKAYO  INNOCENT,DP,276,180
BUNYA COUNTY EAST,KUBEKETERYA  JAMES,NRM,16641,181
BUNYA COUNTY EAST,WAIRA  JAMES KYEWALABYE MAJEGERE SITINGO,INDEPENDENT,10250,181
BUNYA COUNTY EAST,MUKWANA  CYRUS,NUP,2201,181
BUNYA COUNTY EAST,WESIIRE  YONA,INDEPENDENT,1982,181
BUNYA COUNTY EAST,IKOBA  ROGERS,INDEPENDENT,1220,181
BUNYA COUNTY EAST,WAMBOGA  GODFREY,INDEPENDENT,764,181
BUNYA COUNTY EAST,MWANDHA  CHRISTOPHER,INDEPENDENT,662,181
BUNYA COUNTY EAST,WADEBYE  RICHARD,INDEPENDENT,620,181
BUNYA COUNTY EAST,MUKUVE  MULENGHI DANIEL,INDEPENDENT,268,181
BUNYA COUNTY EAST,BAMULANZEKI  IVAN,FDC,88,181
BUNYA COUNTY SOUTH,ISABIRYE  IDDI,NRM,19833,181
BUNYA COUNTY SOUTH,NTENDE  ROBERT,INDEPENDENT,14364,181
BUNYA COUNTY SOUTH,MPAATA  SALLEH,INDEPENDENT,5613,181
BUNYA COUNTY SOUTH,KYEYAGO  JOWALI KAGGWA,INDEPENDENT,828,181
BUNYA COUNTY SOUTH,NGOBI  HAMIDUN HAMUZA,ANT,607,181
BUNYA COUNTY SOUTH,OWORI  GEOFREY,FDC,544,181
BUNYA COUNTY SOUTH,ONDIAL  WILLMAX BRIAN,INDEPENDENT,228,181
BUNYA COUNTY WEST,BAGIIRE  AGGREY HENRY,NRM,19312,181
BUNYA COUNTY WEST,BIDI  MUSTAPHA,NUP,11567,181
BUNYA COUNTY WEST,MUKISA  MOSES MAX,INDEPENDENT,9131,181
BUNYA COUNTY WEST,MUBONDE  NASSER,ANT,2144,181
BUNYA COUNTY WEST,KAYEGO  AGNES,INDEPENDENT,1955,181
BUNYA COUNTY WEST,KYEYAGO  EDWARD,INDEPENDENT,691,181
BUNGOKHO CENTRAL COUNTY,WANDA  RICHARD,NRM,15601,182
BUNGOKHO CENTRAL COUNTY,MAUSO  ANDREW,INDEPENDENT,12227,182
BUNGOKHO CENTRAL COUNTY,MUKHWANA  ERIC STEPHEN,INDEPENDENT,1202,182
BUNGOKHO CENTRAL COUNTY,WANAMAMA  ANTHONY  EDDY,FDC,621,182
BUNGOKHO CENTRAL COUNTY,NANGAYI  GUYSON,ANT,117,182
BUNGOKHO COUNTY NORTH,MAGOLO  JOHN FAITH,NRM,6077,183
BUNGOKHO COUNTY NORTH,WANYENYA  SHAFIGA,INDEPENDENT,4602,183
BUNGOKHO COUNTY NORTH,NALEKA  ABDUALAH,INDEPENDENT,3922,183
BUNGOKHO COUNTY NORTH,MUBAJJE  SAM,INDEPENDENT,749,183
BUNGOKHO COUNTY NORTH,WAMBEDE  JAMES,FDC,565,183
BUNGOKHO COUNTY NORTH,GUDOI  YAHAYA,INDEPENDENT,373,183
BUNGOKHO COUNTY NORTH,WAMBEDE   MOSES,INDEPENDENT,264,183
BUNGOKHO COUNTY SOUTH,WANDWASI  ROBERT,NRM,9842,184
BUNGOKHO COUNTY SOUTH,WOKURI  GEOFREY,INDEPENDENT,6763,184
BUNGOKHO COUNTY SOUTH,WOSHALE  DAVID,INDEPENDENT,5814,184
BUNGOKHO COUNTY SOUTH,NAKHALE  DANIEL,FDC,333,184
BUNGOKHO COUNTY SOUTH,MUJASI MASABA  BERNARD ELLY,INDEPENDENT,94,184
INDUSTRIAL DIVISION,MASABA  KARIM,INDEPENDENT,15881,185
INDUSTRIAL DIVISION,WEKESA  JOHN WAMBOGO,NRM,8822,185
INDUSTRIAL DIVISION,MUTENYO  AUGUSTINE NABWIRA,INDEPENDENT,2481,185
INDUSTRIAL DIVISION,NABENDE  ISAAC WALERA,FDC,1984,185
INDUSTRIAL DIVISION,MADOI  YASSIN,NUP,1790,185
INDUSTRIAL DIVISION,NAMBAFU  GEOFFREY,INDEPENDENT,1272,185
INDUSTRIAL DIVISION,MUSAMALI  MARTIN,INDEPENDENT,772,185
INDUSTRIAL DIVISION,MUSAALO  MICHEAL,ANT,347,185
NORTHERN DIVISION,WAMBEDE  SETH KIZANGI MASSA,NRM,9854,185
NORTHERN DIVISION,MASABA  IVAN,NUP,9413,185
NORTHERN DIVISION,SIZOMU  GERSHOM RABBI WAMBEDE,INDEPENDENT,7529,185
NORTHERN DIVISION,NANGOLI  UMAR,INDEPENDENT,4836,185
NORTHERN DIVISION,WANYOTO  PAUL MUGOYA,FDC,4135,185
NORTHERN DIVISION,MASHATE  PETER MAGOMU,INDEPENDENT,4027,185
NORTHERN DIVISION,ARYAMPA  JACKSON,INDEPENDENT,1052,185
NORTHERN DIVISION,MAGALA  MAFABI IMANI,INDEPENDENT,686,185
NORTHERN DIVISION,WEBISA  DENIS,INDEPENDENT,535,185
NORTHERN DIVISION,WANDERA  MOHAMED,ANT,161,185
KASHARI NORTH COUNTY,BATARINGAYA  BASIL RWANKWENE,NRM,13995,186
KASHARI NORTH COUNTY,YAGUMA  WILBERFORCE RUTASHOKWA,INDEPENDENT,7018,186
KASHARI NORTH COUNTY,MWESIGYE  FRED,INDEPENDENT,1248,186
KASHARI NORTH COUNTY,KARUHANGA  INNOCENT KABWISHO,INDEPENDENT,1029,186
KASHARI NORTH COUNTY,MUHAME  DAVID,INDEPENDENT,304,186
KASHARI NORTH COUNTY,AGABA  ELISA,INDEPENDENT,164,186
KASHARI NORTH COUNTY,ATUHAIRWE  ROBERT,INDEPENDENT,61,186
KASHARI SOUTH COUNTY,TWESIGYE  NATHAN ITUNGO,INDEPENDENT,10252,186
