Constituency,Name,Political Party,Votes
ISINGIRO COUNTY NORTH,AROMA PATRICK,INDEPENDENT,1947
ISINGIRO COUNTY NORTH,OBONG VINCENT SHEDRICK,INDEPENDENT,1954
ISINGIRO COUNTY NORTH,EKWANG HENRY CILODYANG,INDEPENDENT,1955
ISINGIRO COUNTY NORTH,OKAO JOEL,INDEPENDENT,1964
ISINGIRO COUNTY NORTH,AWICH POLLAR OKWIR,INDEPENDENT,1965
ISINGIRO COUNTY NORTH,OBUA OGWAL BENSON,INDEPENDENT,1972
ISINGIRO COUNTY NORTH,OJUKA ANTHONY,INDEPENDENT,1982
ISINGIRO COUNTY SOUTH,OPIO PATRICK,INDEPENDENT,1984
ISINGIRO COUNTY SOUTH,OKELLO DENIS BLAIR,INDEPENDENT,1984
ISINGIRO COUNTY SOUTH,ODONGO,INDEPENDENT,2011
ISINGIRO COUNTY SOUTH,AYO SAMUEL GEORGE OLYET,INDEPENDENT,2014
ISINGIRO COUNTY SOUTH,OBWOL TONNY WALTER,INDEPENDENT,2025
ISINGIRO WEST COUNTY,OKELLO AYOKA SIMON,INDEPENDENT,2042
ISINGIRO WEST COUNTY,OLARA EDWARD SILAS,INDEPENDENT,2048
ISINGIRO WEST COUNTY,KYOBE LUKE INYENSIKO,INDEPENDENT,2050
ISINGIRO WEST COUNTY,BAGOOLE NGOBI JOHN,INDEPENDENT,2054
JIE COUNTY,WAMBI PETER,INDEPENDENT,2058
JIE COUNTY,NTAMBAZI NATHAN,INDEPENDENT,2070
JINJA,MUYOMBA HENRY,INDEPENDENT,2073
JINJA,KISA STEPHEN,INDEPENDENT,2079
JINJA,BAKUBALWAYO,INDEPENDENT,2090
JINJA,KIDHUGUDHU LUCY LANYERO,INDEPENDENT,2094
JINJA,MULIKO IKANZA PAUL JULIUS,INDEPENDENT,2096
JINJA,NAMUFUMBA PENINAH,INDEPENDENT,2114
JINJA,WINFRED,INDEPENDENT,2137
JINJA,KAWANGUZI SOWEDI BILALI,INDEPENDENT,2137
JINJA CITY,KIIRYA DANIEL NGOBI,INDEPENDENT,2144
JINJA CITY,TENYWA NOAH,INDEPENDENT,2149
JINJA CITY,SSEKITOLEEKO ROBERT,INDEPENDENT,2152
JINJA CITY,MUYINGO JOHN CHRYSESTOM,INDEPENDENT,2172
JINJA CITY,MUYINGO RONALD,INDEPENDENT,2173
JINJA CITY,MATOVU MOSES,INDEPENDENT,2178
JINJA CITY,KALYESUBULA ALEX,INDEPENDENT,2185
JINJA CITY,SEKABIRA DENES,INDEPENDENT,2188
JINJA CITY,GADDAFI NASSUR,INDEPENDENT,2200
JINJA CITY,NDAWULA RONALD,INDEPENDENT,2201
JINJA CITY,SSEBYALA CHARLES,INDEPENDENT,2204
JINJA CITY,MAKAIRE FREDRICK,INDEPENDENT,2206
JINJA NORTH DIVISION,KIZZA RONALD SSENYANGE,INDEPENDENT,2207
JINJA NORTH DIVISION,KASAGGA RONALD,INDEPENDENT,2214
JINJA NORTH DIVISION,BAZANYANENGO,INDEPENDENT,2221
JINJA NORTH DIVISION,KIRUMIRA HASSAN,INDEPENDENT,2222
JINJA NORTH DIVISION,MUWANGA ALFRED,INDEPENDENT,2237
JINJA NORTH DIVISION,MAGARA PATRICIA,INDEPENDENT,2245
JINJA NORTH DIVISION,KALUME ABUBAKER,INDEPENDENT,2247
JINJA NORTH DIVISION,SSEMBATYA EDWARD,INDEPENDENT,2250
JINJA NORTH DIVISION,NDAWULA,INDEPENDENT,2253
JINJA NORTH DIVISION,KABAALE ALLAN,INDEPENDENT,2253
JINJA NORTH DIVISION,SSEMAKULA GEORGE,INDEPENDENT,2258
JINJA NORTH DIVISION,SSENABULYA ALEX NATHAN,INDEPENDENT,2262
JINJA NORTH DIVISION,SSEJJOBA ISAAC,INDEPENDENT,2266
JINJA NORTH DIVISION,MUYOMBA JOSEPH KASOZI,INDEPENDENT,2275
JINJA NORTH DIVISION,NABALAMBA ASMAT,INDEPENDENT,2276
JINJA NORTH DIVISION,SSEMAGANDA NICHOLAS,INDEPENDENT,2297
JINJA NORTH DIVISION,PRINCE ARTHUR SSAJJABI,INDEPENDENT,2304
JINJA SOUTH DIVISION EAST,SSENTAYI MUHAMAD,INDEPENDENT,2305
JINJA SOUTH DIVISION EAST,BIRIMUMASO MULINDWA,INDEPENDENT,2322
JINJA SOUTH DIVISION EAST,ERINANTO,INDEPENDENT,2326
JINJA SOUTH DIVISION EAST,MUGABE OLIVIA,INDEPENDENT,2344
JINJA SOUTH DIVISION EAST,KAMANZI FRANCIS,INDEPENDENT,2345
JINJA SOUTH DIVISION EAST,SERUWUGE YASIN,INDEPENDENT,2346
JINJA SOUTH DIVISION EAST,MUSINGUZI RONALD,INDEPENDENT,2363
JINJA SOUTH DIVISION EAST,KAGABO TWAHA MZEE,INDEPENDENT,2364
JINJA SOUTH DIVISION EAST,HAJI KIYIMBA ABDUL,INDEPENDENT,2369
JINJA SOUTH DIVISION WEST,SSENTAMU JULIUS,INDEPENDENT,2392
JINJA SOUTH DIVISION WEST,NAKIMERA BERNA,INDEPENDENT,2421
JINJA SOUTH DIVISION WEST,ASIIMWE K ENOSI,INDEPENDENT,2422
JINJA SOUTH DIVISION WEST,WASSWA ACHILLES,INDEPENDENT,2430
JINJA SOUTH DIVISION WEST,KAWOOYA,INDEPENDENT,2446
JINJA SOUTH DIVISION WEST,KAKOOZA JAMES,INDEPENDENT,2452
JINJA SOUTH DIVISION WEST,SSEMANDA MOSES ALI,INDEPENDENT,2464
JINJA SOUTH DIVISION WEST,AFIDRA OLEMA RONALD,INDEPENDENT,2464
JINJA SOUTH DIVISION WEST,OGAMA ALLI ISMAIL,INDEPENDENT,2476
JONAM COUNTY,AKUMA RONALD,INDEPENDENT,2481
JONAM COUNTY,JURUGA PATRICK,INDEPENDENT,2483
JONAM COUNTY,ETUKA ISAAC JOAKINO,INDEPENDENT,2486
JONAM COUNTY,MADIRA JIMMY,INDEPENDENT,2495
KAABONG,DRITO MARTIN ANDI,INDEPENDENT,2500
KAABONG,ATRIA JACKSON,INDEPENDENT,2502
KAABONG,OYUA CHRIS CHARLES,INDEPENDENT,2515
KAABONG,ARUMADRI KIWAWA GILBERT,INDEPENDENT,2522
KAABONG,BAMUKE DERRICK,INDEPENDENT,2523
KABALE,WERIKHE PETER,INDEPENDENT,2544
KABALE,CHRISTOPHER,INDEPENDENT,2554
KABALE,MATEMBU WATAKA CHRISS,INDEPENDENT,2557
KABALE MUNICIPALITY,NATAKA MICHAEL RICHARD,INDEPENDENT,2566
KABALE MUNICIPALITY,SIMIYU JOHN,INDEPENDENT,2571
KABALE MUNICIPALITY,WOSERE ROBERT,INDEPENDENT,2590
KABALE MUNICIPALITY,BUTITA PAUL,INDEPENDENT,2594
KABALE MUNICIPALITY,WAKOOLI GODFREY,INDEPENDENT,2619
KABALE MUNICIPALITY,TINGU LORNA MAKUMA,INDEPENDENT,2624
KABALE MUNICIPALITY,SIMIYU,INDEPENDENT,2627
KABAROLE,YIGA SAMUEL JOEL,INDEPENDENT,2631
KABAROLE,MWALYE STEVENS,INDEPENDENT,2641
KABAROLE,OGUZU LEE DENIS,INDEPENDENT,2644
KABERAMAIDO,AGUTA SAM,INDEPENDENT,2655
KABERAMAIDO,AADROA ALEX ONZIMA,INDEPENDENT,2658
KABERAMAIDO,LETI YOPHAS,INDEPENDENT,2666
KABERAMAIDO,LEMATIA RUTH MOLLY,INDEPENDENT,2668
KABERAMAIDO,ONDORU,INDEPENDENT,2679
KABERAMAIDO COUNTY,ACIDRI JAMES,INDEPENDENT,2681
KABERAMAIDO COUNTY,MAWA JOHN,INDEPENDENT,2692
KABERAMAIDO COUNTY,AJIDIRU EMILLY,INDEPENDENT,2696
KABERAMAIDO COUNTY,ONZIMA SUNDAY,INDEPENDENT,2701
KABERAMAIDO COUNTY,ADIGA WILFRED LAWRENCE,INDEPENDENT,2710
KABULA COUNTY,ABITI EMMANUEL,INDEPENDENT,2711
KABULA COUNTY,SEBAMALA RICHARD,INDEPENDENT,2718
KABULA COUNTY,SSEKANDI EDWARD,INDEPENDENT,2719
KABULA COUNTY,KIWANUKA,INDEPENDENT,2723
KABWERI COUNTY,KAZIBWE MAGELLAN,INDEPENDENT,2734
KABWERI COUNTY,SSEREMBA GODFREY,INDEPENDENT,2742
KABWERI COUNTY,MAYANJA,INDEPENDENT,2743
KABWERI COUNTY,DDEMBE FREDRICK,INDEPENDENT,2745
KABWERI COUNTY,NAMAGANDA EVELINE,INDEPENDENT,2753
KABWERI COUNTY,KANYIKE RONALD EVANS,INDEPENDENT,2753
KABWERI COUNTY,BABIRYE KITYO SARAH,INDEPENDENT,2765
KABWERI COUNTY,NKOYOOYO ABDALLAH,INDEPENDENT,2767
KACHUMBALA COUNTY,BAYIGA CISSY OESCHGER,INDEPENDENT,2768
KACHUMBALA COUNTY,KIZITO BAKER DAVID,INDEPENDENT,2770
KACHUMBALA COUNTY,MUWANGUZI DOMINIC,INDEPENDENT,2780
KACHUMBALA COUNTY,DDIBA FAISWALI,INDEPENDENT,2784
KAGADI,BWANIKA ABED,INDEPENDENT,2799
KAGADI,,INDEPENDENT,2803
KAGADI,ASIIMWE ROBERT,INDEPENDENT,2811
KAGOMA COUNTY,,INDEPENDENT,2823
KAGOMA COUNTY,KAYEMBA GODFREY,INDEPENDENT,2837
KAGOMA COUNTY,,INDEPENDENT,2845
KAGOMA COUNTY,MBABAALI JUDE,INDEPENDENT,2846
KAGOMA COUNTY,,INDEPENDENT,2846
KAGOMA COUNTY,SSIMBWA JOHN,INDEPENDENT,2856
KAGOMA NORTH COUNTY,,INDEPENDENT,2861
KAGOMA NORTH COUNTY,LUBYAYI HASSANE,INDEPENDENT,2881
KAGOMA NORTH COUNTY,,INDEPENDENT,2892
KAGOMA NORTH COUNTY,ZIKUSOKA HERBERT,INDEPENDENT,2892
KAGOMA NORTH COUNTY,,INDEPENDENT,2912
KAGOMA NORTH COUNTY,MPUUGA MATHIAS,INDEPENDENT,2912
KAGOMA NORTH COUNTY,,INDEPENDENT,2912
KAJARA COUNTY,KIYIMBA SARAH,INDEPENDENT,2921
KAJARA COUNTY,,INDEPENDENT,2935
KAJARA COUNTY,MUKASA FRED MBIDDE,INDEPENDENT,2944
KAJARA COUNTY,,INDEPENDENT,2944
KAJARA COUNTY,SSEMPA PETER,INDEPENDENT,2949
KAKUMIRO,,INDEPENDENT,2951
KAKUMIRO,SSENYONGA BADRU ABAASI,INDEPENDENT,2955
KAKUMIRO,,INDEPENDENT,2956
KAKUUTO COUNTY,KISEKKA NTALE DANIEL,INDEPENDENT,2964
KAKUUTO COUNTY,,INDEPENDENT,2972
KAKUUTO COUNTY,SSEKABIRA MICHAEL,INDEPENDENT,2972
KAKUUTO COUNTY,,INDEPENDENT,2979
KAKUUTO COUNTY,KAGIRI DANIEL,INDEPENDENT,2987
KAKUUTO COUNTY,,INDEPENDENT,2991
KAKUUTO COUNTY,KIIZA KENNETH NYENDWOHA,INDEPENDENT,2993
KALAKI,KASUMBA PATRICK PADDY,INDEPENDENT,3005
KALAKI,NTEGEKA FULGENSIUS,INDEPENDENT,3025
KALAKI,KYOTASOBORA PHINEHAS,INDEPENDENT,3027
KALAKI COUNTY,AKUGIZIBWE ALED RONALD,INDEPENDENT,3028
KALAKI COUNTY,BINTU LUKUMU JALIA,INDEPENDENT,3045
KALAKI COUNTY,KABINDI STEPHEN,INDEPENDENT,3052
KALAKI COUNTY,BANAGE FREDRICK BITAMALE,INDEPENDENT,3069
KALANGALA,BUSINGE JOAB,INDEPENDENT,3075
KALANGALA,KIIZA MONDAY ERNEST,INDEPENDENT,3076
KALANGALA,BYAMUKAMA ROGERS,INDEPENDENT,3077
KALIRO,KANTI ROGERS,INDEPENDENT,3081
KALIRO,TURYHIKAYO INNOCENT,INDEPENDENT,3087
KALIRO,KUBEKETERYA JAMES,INDEPENDENT,3102
KALIRO,WAIRA JAMES KYEWALABYE,INDEPENDENT,3122
KALIRO,MAJEGERE SITINGO,INDEPENDENT,3123
KALIRO,MUKWANA CYRUS,INDEPENDENT,3141
KALIRO,WESIIRE YONA,INDEPENDENT,3146
KALUNGU,IKOBA ROGERS,INDEPENDENT,3147
KALUNGU,WAMBOGA GODFREY,INDEPENDENT,3154
KALUNGU,MWANDHA CHRISTOPHER,INDEPENDENT,3156
KALUNGU EAST COUNTY,WADEBYE RICHARD,INDEPENDENT,3171
KALUNGU EAST COUNTY,MUKUVE MULENGHI DANIEL,INDEPENDENT,3173
KALUNGU EAST COUNTY,BAMULANZEKI IVAN,INDEPENDENT,3174
KALUNGU EAST COUNTY,ISABIRYE IDDI,INDEPENDENT,3191
KALUNGU WEST COUNTY,NTENDE ROBERT,INDEPENDENT,3205
KALUNGU WEST COUNTY,MPAATA SALLEH,INDEPENDENT,3212
KALUNGU WEST COUNTY,KYEYAGO JOWALI KAGGWA,INDEPENDENT,3221
KALUNGU WEST COUNTY,NGOBI HAMIDUN HAMUZA,INDEPENDENT,3233
KALUNGU WEST COUNTY,OWORI GEOFREY,INDEPENDENT,3233
KALUNGU WEST COUNTY,ONDIAL WILLMAX BRIAN,INDEPENDENT,3234
KAMPALA,BAGIIRE AGGREY HENRY,INDEPENDENT,3242
KAMPALA,BIDI MUSTAPHA,INDEPENDENT,3263
KAMPALA,MUKISA MOSES MAX,INDEPENDENT,3264
KAMPALA,MUBONDE NASSER,INDEPENDENT,3272
KAMPALA,KAYEGO AGNES,INDEPENDENT,3276
KAMPALA,KYEYAGO EDWARD,INDEPENDENT,3278
KAMPALA,WANDA RICHARD,INDEPENDENT,3301
KAMPALA,,INDEPENDENT,3302
KAMPALA,MAUSO ANDREW,INDEPENDENT,3303
KAMPALA CENTRAL DIVISION,,INDEPENDENT,3314
KAMPALA CENTRAL DIVISION,MUKHWANA ERIC STEPHEN,INDEPENDENT,3326
KAMPALA CENTRAL DIVISION,,INDEPENDENT,3330
KAMPALA CENTRAL DIVISION,WANAMAMA ANTHONY EDDY,INDEPENDENT,3335
KAMPALA CENTRAL DIVISION,,INDEPENDENT,3337
KAMULI,NANGAYI GUYSON,INDEPENDENT,3351
KAMULI,,INDEPENDENT,3351
KAMULI,MAGOLO JOHN FAITH,INDEPENDENT,3356
KAMULI MUNICIPALITY,WANYENYA SHAFIGA,INDEPENDENT,3358
KAMULI MUNICIPALITY,NALEKA ABDUALAH,INDEPENDENT,3366
KAMULI MUNICIPALITY,MUBAJJE SAM,INDEPENDENT,3376
KAMULI MUNICIPALITY,WAMBEDE JAMES,INDEPENDENT,3377
KAMULI MUNICIPALITY,GUDOI YAHAYA,INDEPENDENT,3387
KAMWENGE,WAMBEDEMOSES,INDEPENDENT,3390
KAMWENGE,WANDWASI ROBERT,INDEPENDENT,3395
KANUNGU,WOKURI GEOFREY,INDEPENDENT,3400
KANUNGU,WOSHALE DAVID,INDEPENDENT,3408
KANUNGU,NAKHALE DANIEL,INDEPENDENT,3411
KANUNGU,MUJASI MASABA BERNARD,INDEPENDENT,3413
KANUNGU,ELLY,INDEPENDENT,3416
KANUNGU,MASABA KARIM,INDEPENDENT,3417
KANYUM COUNTY,WEKESA JOHN WAMBOGO,INDEPENDENT,3421
KANYUM COUNTY,MUTENYO AUGUSTINE,INDEPENDENT,3423
KANYUM COUNTY,NABWIRA,INDEPENDENT,3445
KANYUM COUNTY,NABENDE ISAAC WALERA,INDEPENDENT,3471
KAPCHORWA,MADOI YASSIN,INDEPENDENT,3477
KAPCHORWA,NAMBAFU GEOFFREY,INDEPENDENT,3492
KAPCHORWA,MUSAMALI MARTIN,INDEPENDENT,3496
KAPCHORWA,MUSAALO MICHEAL,INDEPENDENT,3500
KAPCHORWA,WAMBEDE SETH KIZANGI,INDEPENDENT,3507
KAPCHORWA,MASSA,INDEPENDENT,3507
KAPCHORWA MUNICIPALITY,MASABA IVAN,INDEPENDENT,3513
KAPCHORWA MUNICIPALITY,SIZOMU GERSHOM RABBI,INDEPENDENT,3520
KAPELEBYONG,WAMBEDE,INDEPENDENT,3522
KAPELEBYONG,NANGOLI UMAR,INDEPENDENT,3526
KAPELEBYONG,WANYOTO PAUL MUGOYA,INDEPENDENT,3527
KAPELEBYONG,MASHATE PETER MAGOMU,INDEPENDENT,3553
KAPELEBYONG,ARYAMPA JACKSON,INDEPENDENT,3558
KAPELEBYONG,MAGALA MAFABI IMANI,INDEPENDENT,3568
KAPELEBYONG,WEBISA DENIS,INDEPENDENT,3568
KAPELEBYONG,WANDERA MOHAMED,INDEPENDENT,3584
KAPELEBYONG COUNTY,BATARINGAYA BASIL,INDEPENDENT,3613
KAPELEBYONG COUNTY,RWANKWENE,INDEPENDENT,3624
KAPELEBYONG COUNTY,YAGUMA WILBERFORCE,INDEPENDENT,3640
KAPELEBYONG COUNTY,RUTASHOKWA,INDEPENDENT,3648
KAPELEBYONG COUNTY,MWESIGYE FRED,INDEPENDENT,3650
KAPELEBYONG COUNTY,KARUHANGA INNOCENT,INDEPENDENT,3675
KAPIR COUNTY,KABWISHO,INDEPENDENT,3684
KAPIR COUNTY,MUHAME DAVID,INDEPENDENT,3686
KAPIR COUNTY,AGABA ELISA,INDEPENDENT,3687
KAPIR COUNTY,ATUHAIRWE ROBERT,INDEPENDENT,3736
KAPIR COUNTY,TWESIGYE NATHAN ITUNGO,INDEPENDENT,3741
KAPIR COUNTY,MWEBEMBEZI ABEL,INDEPENDENT,3779
KARENGA,KAZOORA JOHN BASHAIJA,INDEPENDENT,3787
KARENGA,NUWAGIRA DANIEL,INDEPENDENT,3788
KASAMBYA COUNTY,ARINAITWE KAREGYEYA,INDEPENDENT,3792
KASAMBYA COUNTY,ARTHUR,INDEPENDENT,3796
KASAMBYA COUNTY,TWINOMUJUNI IVAN,INDEPENDENT,3798
KASAMBYA COUNTY,MWESIGWA ROBERT RUKAARI,INDEPENDENT,3819
KASAMBYA COUNTY,TUMUSIIME APOLLO RUTAABA,INDEPENDENT,3826
KASAMBYA COUNTY,KAJUBI BENON MAISHO,INDEPENDENT,3841
KASESE,AKORAGYE EDWIN BARYAH,INDEPENDENT,3849
KASESE,MUKALAZI DEUS MUBIRU,INDEPENDENT,3856
KASESE,AGABA ANTHONY,INDEPENDENT,3863
KASESE,MUGISHA OTATIINA CELESTIN,INDEPENDENT,3868
KASESE MUNICIPALITY,NASASIRA HAPPY,INDEPENDENT,3879
KASESE MUNICIPALITY,AHEREZA TITUS,INDEPENDENT,3880
KASESE MUNICIPALITY,BWENGYE DEUSDEDIT,INDEPENDENT,3888
KASESE MUNICIPALITY,MWINE MPAKA RWAMIRAMA,INDEPENDENT,3896
KASESE MUNICIPALITY,MBAREEBAKI EMMY,INDEPENDENT,3904
KASESE MUNICIPALITY,MUHUMUZA BRIGHT,INDEPENDENT,3905
KASESE MUNICIPALITY,RUTAHABA NICODEMUS,INDEPENDENT,3906
KASHARI NORTH COUNTY,KASHAIJA,INDEPENDENT,3911
KASHARI NORTH COUNTY,NAMBAALE MUZAFARU,INDEPENDENT,3919
KASHARI NORTH COUNTY,MANZI MUNANURA,INDEPENDENT,3922
KASHARI NORTH COUNTY,SEKAMATE NASWIRU,INDEPENDENT,3933
KASHARI NORTH COUNTY,NESTROY TAUBA,INDEPENDENT,3937
KASHARI NORTH COUNTY,SEKITTO UMARU HAGGAI,INDEPENDENT,3941
KASHARI NORTH COUNTY,TIBEZAARA FRANCIS,INDEPENDENT,3958
KASHARI SOUTH COUNTY,RWABUTEERA,INDEPENDENT,3962
KASHARI SOUTH COUNTY,TUSIIME JACKSON,INDEPENDENT,3981
KASHARI SOUTH COUNTY,OTAFIIRE KAHINDA,INDEPENDENT,4004
KASHARI SOUTH COUNTY,YEKWATSE ALEX,INDEPENDENT,4006
KASHARI SOUTH COUNTY,TWETEGIRE BENEDICT,INDEPENDENT,4013
KASHARI SOUTH COUNTY,AKAMPA AUDREY,INDEPENDENT,4015
KASHONGI COUNTY,TAYEBWA ISACK,INDEPENDENT,4017
KASHONGI COUNTY,KAHEMBA BABI SPERATO,INDEPENDENT,4017
KASHONGI COUNTY,TUGUME INNOCENT,INDEPENDENT,4027
KASILO COUNTY,TAYEBWA THOMAS,INDEPENDENT,4040
KASILO COUNTY,TWIMUKYE MOSES,INDEPENDENT,4041
KASILO COUNTY,ATUHAMIZE YORAM,INDEPENDENT,4047
KASILO COUNTY,NUWAHEREZA NELSON,INDEPENDENT,4065
KASILO COUNTY,KAPERE NATHAN BURGESS,INDEPENDENT,4072
KASILO COUNTY,MUGABE DONONZIO,INDEPENDENT,4074
KASSANDA,KAHONDA,INDEPENDENT,4084
KASSANDA,ATUHWEREIRE ARTHUR,INDEPENDENT,4107
KASSANDA,KAZOORA,INDEPENDENT,4111
KASSANDA,ATWIINE VICTOR,INDEPENDENT,4113
KASSANDA,BYARUHANGA DIDAS,INDEPENDENT,4135
KASSANDA COUNTY NORTH,KAGINDA,INDEPENDENT,4143
KASSANDA COUNTY NORTH,LUKYAMUZI DAVID,INDEPENDENT,4196
KASSANDA COUNTY NORTH,KALWANGA,INDEPENDENT,4198
KASSANDA COUNTY NORTH,NYANZI VINCENT MAKUMBI,INDEPENDENT,4205
KASSANDA COUNTY SOUTH,KATO GODFREY,INDEPENDENT,4220
KASSANDA COUNTY SOUTH,MUGAMBWA ROBERT,INDEPENDENT,4238
KASSANDA COUNTY SOUTH,NSEGUMIRE MUHAMAD KIBEDI,INDEPENDENT,4270
KASSANDA COUNTY SOUTH,SEMATIKO GORDON KATENDE,INDEPENDENT,4284
KASSANDA COUNTY SOUTH,KINTU FREDDIE GRACE,INDEPENDENT,4286
KASSANDA COUNTY SOUTH,SHINGIRO DIDAS KAYONGA,INDEPENDENT,4292
KATAKWI,MUTYABA BYRON,INDEPENDENT,4314
KATAKWI,KASULE ONESIMU,INDEPENDENT,4326
KATAKWI,LUBEGA JAMES,INDEPENDENT,4331
KATAKWI,KEEYA WATSON RONALD,INDEPENDENT,4346
KATAKWI,LUMU RICHARD KIZITO,INDEPENDENT,4352
KATAKWI,MAKUMBI HENRY KAMYA,INDEPENDENT,4358
KATAKWI,KAZUNGU APOLLO,INDEPENDENT,4378
KATERERA COUNTY,BUYONDO SULAIMAN,INDEPENDENT,4379
KATERERA COUNTY,ZAAKE FRANCIS,INDEPENDENT,4388
KATERERA COUNTY,BUGEMBE JOHN MARY KAMYA,INDEPENDENT,4419
KATERERA COUNTY,KIZZA DAVID MARTIN,INDEPENDENT,4424
KATERERA COUNTY,SSEMAMBO,INDEPENDENT,4450
KATERERA COUNTY,LUZZI ABRAHAM,INDEPENDENT,4458
KATIKAMU COUNTY NORTH,KAYONDO BAGENDA JOHN,INDEPENDENT,4461
KATIKAMU COUNTY NORTH,EDWARD SUISSE,INDEPENDENT,4472
KATIKAMU COUNTY NORTH,NAMULI JANAT,INDEPENDENT,4476
KATIKAMU COUNTY NORTH,KATAMBA TOM,INDEPENDENT,4482
KATIKAMU COUNTY NORTH,MANANA GEOFREY,INDEPENDENT,4496
KATIKAMU COUNTY NORTH,NANZIGE GRACE,INDEPENDENT,4511
KATIKAMU COUNTY NORTH,LOKII JOHN BAPTIST,INDEPENDENT,4560
KATIKAMU COUNTY SOUTH,OLOO PAUL,INDEPENDENT,4564
KATIKAMU COUNTY SOUTH,ABURA SAMUEL PIRIR,INDEPENDENT,4569
KATIKAMU COUNTY SOUTH,ADOME FRANCI LORIKA,INDEPENDENT,4572
KATIKAMU COUNTY SOUTH,ANGELLA FRED,INDEPENDENT,4573
KATIKAMU COUNTY SOUTH,LOKORU ALBERT,INDEPENDENT,4602
KATIKAMU COUNTY SOUTH,IRIAMA MARGRARET,INDEPENDENT,4603
KATIKAMU COUNTY SOUTH,LOGIT ROBERT,INDEPENDENT,4610
KATIKAMU COUNTY SOUTH,AKOL MICHAEL,INDEPENDENT,4641
KAWEMPE DIVISION NORTH,ALERO TOM AZA,INDEPENDENT,4648
KAWEMPE DIVISION NORTH,VUKONI JIMMY OKUDI,INDEPENDENT,4695
KAWEMPE DIVISION NORTH,DRAIKO CHRISTOPHER VUNNI,INDEPENDENT,4703
KAWEMPE DIVISION NORTH,MANZU ROBINSON MIKE,INDEPENDENT,4724
KAWEMPE DIVISION NORTH,KIYAGA HILLARY INNOCENT,INDEPENDENT,4725
KAWEMPE DIVISION NORTH,KYAMBADDE AMELIA ANNE,INDEPENDENT,4742
KAWEMPE DIVISION NORTH,TEBUSWEKE DAVID MAYINJA,INDEPENDENT,4750
KAWEMPE DIVISION NORTH,MUGWANYA JOSEPH ZZIMULA,INDEPENDENT,4761
KAWEMPE DIVISION NORTH,NSIBAMBI YUSUF,INDEPENDENT,4773
KAWEMPE DIVISION NORTH,NAKAWUKI SUSAN NSAMBU,INDEPENDENT,4789
KAWEMPE DIVISION SOUTH,KIYINGI BBOSA KENNETH,INDEPENDENT,4797
KAWEMPE DIVISION SOUTH,JOSEPH,INDEPENDENT,4801
KAWEMPE DIVISION SOUTH,MIREMBE JOEL,INDEPENDENT,4819
KAWEMPE DIVISION SOUTH,WALAKIRA JOSEPH,INDEPENDENT,4821
KAWEMPE DIVISION SOUTH,MBABAZI PASCAL,INDEPENDENT,4821
KAWEMPE DIVISION SOUTH,KAKOOZA JOSEPH,INDEPENDENT,4831
KAWEMPE DIVISION SOUTH,BAGAYA JOSEPH,INDEPENDENT,4836
KAWEMPE DIVISION SOUTH,KYAMBADDE LAWRENCE,INDEPENDENT,4840
KAWEMPE DIVISION SOUTH,NANNYANZI HOPE FIRISTER,INDEPENDENT,4861
KAWEMPE DIVISION SOUTH,MUSEVENI WILLIAM,INDEPENDENT,4866
KAYUNGA,TUMWESIGYE FRED,INDEPENDENT,4902
KAYUNGA,AINEBYONA RONALD,INDEPENDENT,4904
KAYUNGA,KABANDA DAVID,INDEPENDENT,4917
KAYUNGA,KIRIGWAJJO BURUHAN,INDEPENDENT,4922
KAYUNGA,SIMBWA,INDEPENDENT,4937
KAYUNGA,MULINDWA PATRICK,INDEPENDENT,4949
KAYUNGA,MUTABAZI FRED,INDEPENDENT,4954
KAZO,MUHUMUZA HENRY,INDEPENDENT,4957
KAZO,NAKATUDDE YUDAYAH,INDEPENDENT,4990
KAZO,SSEBAYIGA,INDEPENDENT,5022
KAZO,LUBEGA BASHIR SSEMPA,INDEPENDENT,5032
KAZO,KYAMANYWA BOB RICHARD,INDEPENDENT,5048
KAZO COUNTY,KIBUUKA FRANCIS B AMOOTI,INDEPENDENT,5065
KAZO COUNTY,KIRABO JANE,INDEPENDENT,5069
KAZO COUNTY,MUSAASIZI MOSES SSEMATA,INDEPENDENT,5069
KIBAALE,MUYINI RONALD,INDEPENDENT,5074
KIBAALE,KIWANUKA ABDALLAH,INDEPENDENT,5075
KIBALE COUNTY,KIBUULE RONALD,INDEPENDENT,5091
KIBALE COUNTY,DRASI ISAAC,INDEPENDENT,5152
KIBALE COUNTY,MUSOKE THADEUS NAGENDA,INDEPENDENT,5165
KIBALE COUNTY,KIKOMEKO RONALD,INDEPENDENT,5169
KIBALE COUNTY,LUKUBIRA MOSES BAKUBI,INDEPENDENT,5181
KIBALE COUNTY,BUKENYA ARTHUR,INDEPENDENT,5185
KIBALE COUNTY,KAYONDO FRED,INDEPENDENT,5189
KIBALE COUNTY,MUYANJA JOHNSON,INDEPENDENT,5213
KIBALE EAST COUNTY,SSENYONGA,INDEPENDENT,5243
KIBANDA NORTH COUNTY,MALE WILSON,INDEPENDENT,5275
KIBANDA NORTH COUNTY,LUKOOYA FRANCIS MUKOOME,INDEPENDENT,5286
KIBANDA NORTH COUNTY,LULE ANDREW,INDEPENDENT,5286
KIBANDA NORTH COUNTY,BISASO JAMES,INDEPENDENT,5300
KIBANDA NORTH COUNTY,BAKIREKE NAMBOOZE BETTY,INDEPENDENT,5317
